eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,51.0,0.006018614862114191,0.07421875,2.7025344371795654,-0.011423869989812374,0.6183981895446777,0.017557263374328613,1.0,4.0,4.951291156,256.0
nan,nan,60.0,0.013722642324864864,0.2122395783662796,2.6669321060180664,-0.013820528984069824,0.21984632313251495,0.07010853290557861,2.0,8.0,9.165463028000001,512.0
nan,nan,61.0,0.011884027160704136,0.1653645783662796,2.6745126247406006,-0.009743457660079002,0.4157821834087372,0.08647006750106812,3.0,12.0,13.302760288999998,768.0
nan,nan,61.0,0.005247860681265593,0.0677083358168602,2.6508171558380127,-0.008425049483776093,0.6128481030464172,-0.021541714668273926,4.0,16.0,17.476042444,1024.0
nan,nan,61.0,0.010121329687535763,0.1744791716337204,2.625168561935425,-0.015758462250232697,0.1222773864865303,0.15431320667266846,5.0,20.0,21.630492128,1280.0
nan,nan,60.0,0.007608646992594004,0.11328125,2.658740520477295,-0.013426083140075207,0.2509786784648895,0.1305631399154663,6.0,24.0,25.856779296,1536.0
nan,nan,63.0,0.0038433631416410208,0.0533854179084301,2.670889139175415,-0.011078461073338985,0.18436644971370697,0.062280356884002686,7.0,28.0,29.912954,1792.0
nan,nan,64.0,0.009412444196641445,0.12109375,2.6650631427764893,-0.0086483433842659,0.18884283304214478,0.0981529951095581,8.0,32.0,33.884876335,2048.0
nan,nan,65.0,0.007416354957967997,0.0690104141831398,2.669644594192505,-0.005553001072257757,0.09887593239545822,0.030094921588897705,9.0,36.0,37.823675247,2304.0
37.0,1.0,64.0,0.006164130289107561,0.0924479141831398,2.595355987548828,-0.006018514279276133,0.05141792073845863,0.02761918306350708,10.0,40.0,41.788024499,2560.0
